annotation	node1	node2	node3	relevant_node	expected	taxonomy	type	organism	tax_id
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Malvastrum leaf curl Guangdong betasatellite	1461792
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum leaf curl Guangdong virus	377610
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Malvastrum leaf curl Philippines betasatellite	1367671
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum leaf curl Philippines virus	1333313
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum leaf curl virus	329290
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Malvastrum yellow mosaic alphasatellite	377461
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Malvastrum yellow mosaic Cameroon alphasatellite	741733
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow mosaic virus	377462
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Malvastrum yellow mosaic virus satellite DNA beta	377463
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow vein Baoshan virus	642493
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Malvastrum yellow vein betasatellite	221036
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow vein Cambodia virus	1633139
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow vein Changa Manga virus	911574
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Malvastrum yellow vein Chitwan betasatellite	1246849
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow vein Honghe virus	676044
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow vein virus	222475
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Malvastrum yellow vein Yunnan virus	290030
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Malvastrum yellow vein Yunnan virus satellite DNA beta	377611
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Astroviridae	Astroviridae	7		from_vog	Human astrovirus	1868658
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Astroviridae	Astroviridae	7		from_custom_parser	Mamastrovirus 1	1239565
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Astroviridae	Astroviridae	7		from_vog	Mamastrovirus 10	1239574
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Astroviridae	Astroviridae	7		from_vog	Mamastrovirus 13	1239577
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Astroviridae	Astroviridae	7		from_vog	Mamastrovirus 3	1239567
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Mamestra brassicae multiple nucleopolyhedrovirus	78219
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Mamestra configurata nucleopolyhedrovirus A	207830
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Mamestra configurata nucleopolyhedrovirus B	204440
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Borna disease virus 2	1714622
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Borna disease virus 1	1714621
"None"	dsRNA viruses	Reoviridae	Spinareovirinae				from_vog	Mammalian orthoreovirus 3	538123
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Mannheimia phage vB_MhM_3927AP2	1572750
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Mannheimia phage vB_MhM_587AP1	1572744
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Mannheimia phage vB_MhS_1152AP2	1572747
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Mannheimia phage vB_MhS_535AP2	1572743
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Mannheimia phage vB_MhS_587AP2	1572745
"None"	ssRNA viruses	ssRNA negative-strand viruses	Bunyavirales				from_vog	Maprik virus	1590836
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Virgaviridae				from_vog	Maracuja mosaic virus	368736
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	unclassified Polyomaviridae				from_vog	Marbled eel polyomavirus	1662286
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Marburg marburgvirus	11269
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Marburg marburgvirus	11269
"None"	ssDNA viruses	Microviridae	Gokushovirinae				from_vog	Marine gokushovirus	1385658
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales				from_vog	Marine RNA virus JP-A	439015
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales				from_vog	Marine RNA virus JP-B	439016
"Not annotated"	unclassified viruses	Marine RNA virus PAL128	Marine RNA virus PAL128				from_vog	Marine RNA virus PAL128	1804153
"Not annotated"	unclassified viruses	Marine RNA virus PAL156	Marine RNA virus PAL156				from_vog	Marine RNA virus PAL156	1804154
"Not annotated"	unclassified viruses	Marine RNA virus PAL438	Marine RNA virus PAL438				from_vog	Marine RNA virus PAL438	1804155
"Not annotated"	unclassified viruses	Marine RNA virus PAL473	Marine RNA virus PAL473				from_vog	Marine RNA virus PAL473	1804156
"Not annotated"	unclassified viruses	Marine RNA virus PAL_E4	Marine RNA virus PAL_E4				from_vog	Marine RNA virus PAL_E4	1804157
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	environmental samples				from_vog	Marine RNA virus SOG	439014
"None"	ssDNA viruses	Circoviridae	unclassified Circoviridae				from_vog	Marine snail associated circular virus	1692255
"None"	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Marinomonas phage P12026				from_vog	Marinomonas phage P12026	1176423
"None"	dsDNA viruses, no RNA stage	Marseillevirus	Marseillevirus marseillevirus				from_vog	Marseillevirus marseillevirus	694581
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Maruca vitrata nucleopolyhedrovirus	1307954
"Annotated"	Retro-transcribing viruses	Retroviridae	Orthoretrovirinae	Retroviridae	8		from_vog	Mason-Pfizer monkey virus	11855
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	Mastomys natalensis polyomavirus 1				from_vog	Mastomys natalensis polyomavirus 1	1891768
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Togaviridae	Alphavirus	9		from_vog	Mayaro virus	59301
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-1				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-1	1521385
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-2				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-2	1521386
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-3				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-3	1521387
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-4				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-4	1521388
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-5				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-5	1521389
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-6				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-6	1521390
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-7				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-7	1521391
"None"	ssDNA viruses	unclassified ssDNA viruses	McMurdo Ice Shelf pond-associated circular DNA virus-8				from_vog	McMurdo Ice Shelf pond-associated circular DNA virus-8	1521392
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Megabat bufavirus 1	1756191
"None"	dsDNA viruses, no RNA stage	Mimiviridae	unclassified Mimiviridae				from_vog	Megavirus chiliensis	1094892
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	Melandrium yellow fleck virus	545259
"None"	dsDNA viruses, no RNA stage	Poxviridae	Entomopoxvirinae				from_vog	Melanoplus sanguinipes entomopoxvirus	83191
"None"	dsDNA viruses, no RNA stage	unclassified Marseilleviridae	Melbournevirus				from_vog	Melbournevirus	1560514
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	Turkey hepatitis virus 2993D	980964
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	Meles meles polyomavirus 1				from_vog	Meles meles polyomavirus 1	1608323
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Melochia mosaic virus	1742594
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Melochia yellow mosaic virus	1742595
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Luteoviridae				from_vog	Melon aphid-borne yellows virus	471717
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Melon chlorotic leaf curl virus-[Guatemala]	223286
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Melon chlorotic mosaic virus	180399
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Melon chlorotic mosaic virus-associated alphasatellite	870465
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tombusviridae				from_vog	Melon necrotic spot virus	11987
"Not annotated"	ssRNA viruses	ssRNA negative-strand viruses	Bunyavirales				from_vog	Melon yellow spot virus	89471
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_vog	Mercadeo virus	1708574
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	Merino Walk mammarenavirus	743685
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Merremia mosaic Puerto Rico virus	714309
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Merremia mosaic virus	77813
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	Mesocricetus auratus polyomavirus 1				from_vog	Mesocricetus auratus polyomavirus 1	1891729
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Mesorhizobium phage vB_MloP_Lo5R7ANS	1527771
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Mesta yellow vein mosaic Bahraich virus	508748
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Mesta yellow vein mosaic virus	360579
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Sida yellow vein mosaic alphasatellite	1535266
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Mesta yellow vein mosaic virus-associated alphasatellite	1225643
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Mesta yellow vein mosaic virus-associated DNA beta	360580
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Methanobacterium phage psiM2	77048
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Methanothermobacter phage psiM100	145261
"None"	Pospiviroidae	Pospiviroid	unclassified Pospiviroid				from_vog	Mexican papita viroid	79450
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Microbacterium phage Min1	446529
