annotation	node1	node2	node3	relevant_node	expected	taxonomy	type	organism	tax_id
"None"	ssDNA viruses	Nanoviridae	Babuvirus				from_vog	Abaca bunchy top virus	438782
"None"	dsDNA viruses, no RNA stage	Herpesvirales	unclassified Herpesvirales				from_vog	Abalone herpesvirus Victoria/AUS/2009	1241371
"None"	dsDNA viruses, no RNA stage	unclassified dsDNA viruses	Abalone shriveling syndrome-associated virus				from_vog	Abalone shriveling syndrome-associated virus	491893
"Not annotated"	Retro-transcribing viruses	Retroviridae	Orthoretrovirinae	Gammaretrovirus	9		from_vog	Abelson murine leukemia virus	11788
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon Brazil virus	665102
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon mosaic Bolivia virus	932071
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon mosaic Brazil virus	1046572
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Abutilon mosaic virus	10815
"None"	dsDNA viruses, no RNA stage	Mimiviridae	Mimivirus				from_vog	Acanthamoeba polyphaga mimivirus	212035
"None"	dsDNA viruses, no RNA stage	Phycodnaviridae	Chlorovirus				from_vog	Acanthocystis turfacea Chlorella virus 1	322019
"None"	ssDNA viruses	Circoviridae	Circovirus				from_vog	Acartia tonsa copepod circovirus	1168547
"None"	ssDNA viruses	unclassified ssDNA viruses	Acheta domesticus volvovirus				from_vog	Acheta domesticus volvovirus	1291515
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Achromobacter phage JWAlpha	1416009
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Achromobacter phage JWF	1589748
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Achromobacter phage phiAxp-1	1610509
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Achromobacter phage phiAxp-2	1664246
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Achromobacter phage phiAxp-3	1664247
"None"	dsDNA viruses, no RNA stage	Ampullaviridae	Ampullavirus				from_vog	Acidianus bottle-shaped virus	437444
"None"	dsDNA viruses, no RNA stage	Ampullaviridae	Ampullavirus				from_vog	Acidianus bottle-shaped virus 2	1732173
"None"	dsDNA viruses, no RNA stage	Ampullaviridae	Ampullavirus				from_vog	Acidianus bottle-shaped virus 3	1732174
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 1	235266
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 2	300186
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 3	346881
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 6	346882
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 7	346883
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 8	346884
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Lipothrixviridae				from_vog	Acidianus filamentous virus 9	512792
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Rudiviridae				from_vog	Acidianus rod-shaped virus 1	309181
"None"	dsDNA viruses, no RNA stage	Ligamenvirales	Rudiviridae				from_vog	Acidianus rod-shaped virus 2	1732175
"None"	dsDNA viruses, no RNA stage	Fuselloviridae	Betafusellovirus				from_vog	Acidianus spindle-shaped virus 1	693629
"None"	dsDNA viruses, no RNA stage	Bicaudaviridae	unclassified Bicaudaviridae				from_vog	Acidianus tailed spindle virus	1797140
"None"	dsDNA viruses, no RNA stage	Bicaudaviridae	Bicaudavirus				from_vog	Acidianus two-tailed virus	315953
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage Ac42	762660
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage Acj61	760732
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage Acj9	760939
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Leviviridae				from_vog	Acinetobacter phage AP205	154784
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage Bphi-B1251	1221835
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Acinetobacter phage IME_AB3	1458669
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage Petty	1406779
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage phiAC-1	1229760
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage Presley	1406780
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage vB_AbaM_Acibel004	1481186
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Acinetobacter phage vB_AbaP_Acibel007	1481187
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage YMC11/12/R2315	1628720
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage YMC13/03/R2096	1560342
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Acinetobacter phage ZZ1	1049283
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Aconitum latent virus	101764
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Actinidia virus B	1112770
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Actinidia virus X	1331744
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Actinoplanes phage phiAsp2	279303
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Dicistroviridae	4		from_vog	Acute bee paralysis virus	92444
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Acyrthosiphon pisum virus				from_vog	Acyrthosiphon pisum virus	340187
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 4	57579
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 2	10804
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 3	46350
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 7	202812
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 8	202813
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 1	85106
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Bovine adeno-associated virus	256548
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Adeno-associated virus - 5	82300
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Adoxophyes honmai nucleopolyhedrovirus	224399
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus				from_vog	Adoxophyes orana granulovirus	170617
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Adoxophyes orana nucleopolyhedrovirus	542343
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_vog	Aedes flavivirus	390845
"None"	dsRNA viruses	Reoviridae	Spinareovirinae				from_vog	Aedes pseudoscutellaris reovirus	341721
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage CC2	1204516
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage pAh6-C	1505227
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage phiAS5	879630
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Aeromonas phage phiAS7	1141132
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage PX29	926067
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Aeromonas phage vB_AsaM-56	1127514
"None"	dsDNA viruses, no RNA stage	Guttaviridae	Betaguttavirus				from_vog	Aeropyrum pernix ovoid virus 1	1032474
"None"	unclassified archaeal viruses	Aeropyrum pernix spindle-shaped virus 1	Aeropyrum pernix spindle-shaped virus 1				from_vog	Aeropyrum pernix spindle-shaped virus 1	1032473
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	African bat icavirus PREDICT-06105	2003501
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	African cassava mosaic virus	10817
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	unclassified Polyomaviridae				from_vog	African green monkey polyomavirus	12480
"Not annotated"	Retro-transcribing viruses	Retroviridae	Spumaretrovirinae	Retroviridae	8		from_vog	African green monkey simian foamy virus	338079
"None"	dsRNA viruses	Reoviridae	Sedoreovirinae				from_vog	African horse sickness virus	40050
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	African oil palm ringspot virus	185218
"None"	dsDNA viruses, no RNA stage	Asfarviridae	Asfivirus				from_vog	African swine fever virus	10497
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum conyzoides associated symptomless alphasatellite	944995
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum conyzoides symptomless alphasatellite	1705092
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum enation alphasatellite	1260769
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum enation virus	188333
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	Ageratum latent virus	1386090
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Ageratum leaf curl betasatellite	1175505
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Ageratum leaf curl Buea betasatellite	912035
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum leaf curl Cameroon alphasatellite	743035
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Ageratum leaf curl Cameroon betasatellite	635076
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum leaf curl Cameroon virus	912033
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum leaf curl virus - [G52]	298650
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Ageratum yellow leaf curl betasatellite	169687
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Ageratum yellow vein betasatellite	185750
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum yellow vein China alphasatellite	1454227
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Ageratum yellow vein China betasatellite	329288
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum yellow vein China virus - [Hn2]	222078
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum Yellow vein China virus - OX1	1329380
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum yellow vein Hualian virus	437063
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Ageratum yellow vein Singapore alphasatellite	915293
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum yellow vein Sri Lanka virus	222079
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum yellow vein Taiwan virus	222441
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum yellow vein virus	44560
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Ageratum yellow vein virus	44560
"None"	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae				from_vog	Agrobacterium phage 7-7-1	1161931
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Potyviridae	Potyviridae	10		from_vog	Agropyron mosaic virus	41763
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Agrotis ipsilon multiple nucleopolyhedrovirus	208013
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus				from_vog	Agrotis segetum granulovirus	10464
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Agrotis segetum nucleopolyhedrovirus B	1580580
"Not annotated"	ssRNA viruses	ssRNA negative-strand viruses	Bunyavirales	Phlebovirus	2		from_vog	Aguacate virus	1006583
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	Aichi virus 1	1313215
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	Porcine kobuvirus swine/S-1-HUN/2007/Hungary	569195
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_custom_parser	Porcine kobuvirus SH-W-CHN/2010/China	1136133
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_custom_parser	Porcine kobuvirus	1156769
"None"	ssDNA viruses	Circoviridae	unclassified Circoviridae				from_vog	Aiptasia sp. sea anemone associated circular virus	1692242
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	Golden Gate virus	1223562
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	ROUT virus	1303019
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	University of Helsinki virus	1382279
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	CAS virus	1223561
"None"	ssDNA viruses	Geminiviridae	Capulavirus				from_vog	Alfalfa leaf curl virus	1306546
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	Alfalfa mosaic virus	12321
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Potyviridae	Potyviridae	10		from_vog	Algerian watermelon mosaic virus	515575
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Allamanda leaf curl virus	452758
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Allamanda leaf mottle distortion virus	1317107
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Allium virus X	317027
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	Allpahuayo mammarenavirus	144752
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Alphacoronavirus	13		from_vog	Feline infectious peritonitis virus	11135
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Alphacoronavirus	13		from_custom_parser	Swine enteric coronavirus	1766554
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Mesoniviridae	9		from_vog	Cavally virus	1041929
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Mesoniviridae	9		from_custom_parser	Nam Dinh virus	325676
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 32	333763
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 6b	10600
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 34	333764
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Alphapapillomavirus 12	10570
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 54	1671798
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 90	333769
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 10	333759
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Alphapapillomavirus 3	333767
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Alphapapillomavirus 4	337043
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 26	333762
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 53	333765
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Alphapapillomavirus 7	337042
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 7	10620
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Alphapapillomavirus				from_vog	Human papillomavirus type 16	333760
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Alstroemeria virus x	316983
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Alternanthera mosaic virus	85454
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Alternanthera yellow vein betasatellite	447606
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Alternanthera yellow vein virus	337826
"None"	dsRNA viruses	Alternaria alternata virus 1	Alternaria alternata virus 1				from_vog	Alternaria alternata virus 1	483537
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Narnaviridae				from_vog	Alternaria arborescens mitovirus 1	1826822
"Not annotated"	unclassified viruses	Alternaria brassicicola fusarivirus 1	Alternaria brassicicola fusarivirus 1				from_vog	Alternaria brassicicola fusarivirus 1	1766767
"None"	dsRNA viruses	Alternaria longipes dsRNA virus 1	Alternaria longipes dsRNA virus 1				from_vog	Alternaria longipes dsRNA virus 1	1532031
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Alteromonas phage vB_AmaP_AD45-P1	1300004
"None"	dsRNA viruses	Chrysoviridae	Chrysovirus				from_vog	Amasya cherry disease associated chrysovirus	284687
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	Amazon lily mild mottle virus	1195163
"None"	dsDNA viruses, no RNA stage	Iridoviridae	Alphairidovirinae				from_vog	Ambystoma tigrinum virus	265294
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	American hop latent virus	1177630
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	American plum line pattern virus	134632
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Anabaena phage A-4L	1357732
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales	Tymoviridae	2		from_vog	Anagyris vein yellowing virus	312275
"None"	unclassified viruses	Ancient caribou feces associated virus	Ancient caribou feces associated virus				from_vog	Ancient caribou feces associated virus	1542745
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales	Tymoviridae	2		from_vog	Andean potato latent virus	73819
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales	Tymoviridae	2		from_vog	Andean potato mild mosaic virus	1296569
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Andrographis yellow vein leaf curl betasatellite	1476485
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Andrographis yellow vein leaf curl virus	1738045
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tombusviridae				from_vog	Angelonia flower break virus	352882
"None"	ssDNA viruses	Circoviridae	Circovirus				from_vog	Anguilla anguilla circovirus	1420600
"None"	dsDNA viruses, no RNA stage	Herpesvirales	Alloherpesviridae				from_vog	Anguillid herpesvirus 1	150286
"None"	dsDNA viruses, no RNA stage	Poxviridae	Entomopoxvirinae				from_vog	Anomala cuprea entomopoxvirus	62099
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Dicistroviridae	4		from_vog	Anopheles C virus	1769780
"None"	dsDNA viruses, no RNA stage	Iridoviridae	unclassified Iridoviridae				from_vog	Anopheles minimus irodovirus	1465751
"None"	unclassified viruses	Anopheline-associated C virus	Anopheline-associated C virus				from_vog	Anopheline-associated C virus	1398939
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Goose parvovirus	38251
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Muscovy duck parvovirus	37325
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales				from_vog	Antarctic picorna-like virus 1	1648481
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales				from_vog	Antarctic picorna-like virus 2	1648482
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales				from_vog	Antarctic picorna-like virus 3	1648483
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales				from_vog	Antarctic picorna-like virus 4	1648484
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Iflavirus	8		from_vog	Antheraea pernyi iflavirus	1460071
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Antheraea pernyi nucleopolyhedrovirus	161494
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Anticarsia gemmatalis nucleopolyhedrovirus	31507
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Dicistroviridae	4		from_vog	Aphid lethal paralysis virus	209529
"None"	unclassified viruses	Aphis glycines virus 2	Aphis glycines virus 2				from_vog	Aphis glycines virus 2	1897732
"None"	dsDNA viruses, no RNA stage	unclassified dsDNA viruses	Apis mellifera filamentous virus				from_vog	Apis mellifera filamentous virus	1100043
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Potyviridae	Potyviridae	10		from_vog	Apium virus Y	168135
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus				from_vog	Apocheima cinerarium nucleopolyhedrovirus	307461
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Pipapillomavirus				from_vog	Apodemus sylvaticus papillomavirus 1	1036963
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_vog	Apoi virus	64280
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apple chlorotic leaf spot virus	12175
"None"	Pospiviroidae	Apscaviroid	Apple dimple fruit viroid				from_vog	Apple dimple fruit viroid	73494
"None"	unclassified viroids	Apple fruit crinkle viroid	Apple fruit crinkle viroid				from_vog	Apple fruit crinkle viroid	190808
"None"	ssDNA viruses	Geminiviridae	unclassified Geminiviridae				from_vog	Apple geminivirus PL-2015	1633752
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apple green crinkle associated virus	1211388
"None"	unclassified viroids	Apple hammerhead viroid-like circular RNA	Apple hammerhead viroid-like circular RNA				from_vog	Apple hammerhead viroid-like circular RNA	1737346
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Cheravirus	8		from_vog	Apple latent spherical virus	101688
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Bromoviridae				from_vog	Apple mosaic virus	12319
"None"	Pospiviroidae	Apscaviroid	Apple scar skin viroid				from_vog	Apple scar skin viroid	12895
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apple stem grooving virus	28347
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apple stem pitting virus	35350
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apricot latent virus	75387
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apricot pseudo-chlorotic leaf spot virus	307677
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Apricot vein clearing associated virus	1343920
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	Seal picornavirus type 1	471728
"None"	dsRNA viruses	Reoviridae	Spinareovirinae				from_vog	Chum salmon reovirus CS	173082
"None"	dsRNA viruses	Reoviridae	Spinareovirinae				from_vog	Aquareovirus C	185782
"None"	dsRNA viruses	Reoviridae	Spinareovirinae				from_vog	American grass carp reovirus	465447
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Nepovirus	8		from_vog	Arabis mosaic virus	12271
"None"	Satellites	Satellite Nucleic Acids	Single stranded RNA satellites				from_vog	Arabis mosaic virus large satellite RNA	190809
"None"	Satellites	Satellite Nucleic Acids	Single stranded RNA satellites				from_vog	Arabis mosaic virus small satellite RNA	196399
"None"	Satellites	Satellite Nucleic Acids	Single stranded RNA satellites				from_vog	Arabis mosaic virus small satellite RNA barley/CHE/1991	857288
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Archaeal BJ1 virus	416419
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Closteroviridae	Closteroviridae	2		from_vog	Areca palm velarivirus 1	1654603
"None"	dsRNA viruses	Totiviridae	Armigeres subalbatus virus SaX06-AK20				from_vog	Armigeres subalbatus virus SaX06-AK20	556524
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_custom_parser	Aroa virus	64303
"Not annotated"	ssRNA viruses	ssRNA negative-strand viruses	Bunyavirales	Phlebovirus	2		from_vog	Arrabida virus	1457322
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Potyviridae	Potyviridae	10		from_vog	Arracacha mottle virus	405558
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Cheravirus	8		from_vog	Arracacha virus B	257463
"None"	ssDNA viruses	Circoviridae	unclassified Circoviridae				from_vog	Artemia melana sponge associated circular genome	1692243
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Sobemovirus	Sobemovirus	5		from_vog	Artemisia virus A	1133751
"None"	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae				from_vog	Arthrobacter phage vB_ArS-ArV2	1414742
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Artibeus jamaicensis parvovirus 1	1131485
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Potyviridae	Potyviridae	10		from_vog	Artichoke latent virus	46076
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tombusviridae				from_vog	Artichoke mottled crinkle virus	12142
"Not annotated"	ssRNA viruses	ssRNA negative-strand viruses	Bunyavirales	Phlebovirus	2		from_vog	Arumowot virus	904698
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales	Tymoviridae	2		from_vog	Asclepias asymptomatic virus	1027880
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Asian prunus virus 1	351427
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Asian prunus virus 2	351426
